"","WAIC","pWAIC","dWAIC","weight","SE","dSE"
"m_full",139.753,4.165,0,0.34,8.801,NA
"m_linked_n_round_random",140.042,2.607,0.289,0.294,7.273,5.311
"m_linked_n_random",142.191,0.764,2.438,0.1,5.351,7.094
"m_performance_round_random",143.045,3.33,3.292,0.065,8.058,2.895
"m_linked_n",143.246,0.684,3.493,0.059,5.45,7.085
"m_performance_linked_n",143.592,1.486,3.838,0.05,5.381,7.071
"m_linked_n_round",143.785,2.128,4.032,0.045,7.406,4.998
"m_performance_round",143.911,3.225,4.158,0.042,8.106,2.877
"m_performance_random",149.454,1.093,9.701,0.003,4.651,7.824
"m_performance",150.637,1.11,10.884,0.001,4.706,7.797
