"group_ID","linked_n","link","confidence","guess_n","is_success","round","performance","friends"
1,5,"hunger",8,2,0,1,40,1
1,1,"bread",10,1,1,8,100,1
1,5,"idiot",7,2,0,2,40,1
1,2,"hideout",8,1,0,9,50,1
1,3,"enemy",8,1,0,3,33.33,1
1,2,"flying",10,1,0,10,50,1
1,3,"smelly",10,2,0,4,66.67,1
1,1,"small",10,1,1,11,100,1
1,2,"marvel",9,1,0,5,50,1
1,1,"nightmare",10,1,1,12,100,1
1,1,"snow",10,1,1,6,100,1
1,1,"art",10,1,1,7,100,1
11,2,"monster",8,2,1,1,100,0
11,1,"dead",9,1,1,8,100,0
11,2,"vertebrate",9,2,1,2,100,0
11,1,"speleology",10,1,1,9,100,0
11,1,"tiny",10,1,1,3,100,0
11,1,"flora",10,1,1,10,100,0
11,2,"freezing",7,1,0,4,50,0
11,2,"creating",5,2,1,5,100,0
11,2,"ingredient",9,2,1,6,100,0
11,2,"unreal",8,2,1,7,100,0
4,2,"room",5,1,0,1,50,1
4,2,"flying",8,1,0,8,50,1
4,3,"mammals",8,2,0,2,66.67,1
4,2,"red",8,2,1,9,100,1
4,2,"thoughts",7,1,0,3,50,1
4,2,"food",9,2,1,10,100,1
4,2,"coldness",8,1,0,4,50,1
4,2,"alive",8,1,0,12,50,1
4,2,"heroine",9,1,0,5,50,1
4,1,"undead",10,1,1,14,100,1
4,2,"raw",9,0,0,6,0,1
4,2,"stone",10,2,1,7,100,1
3,3,"runners",7,3,1,1,100,0
3,3,"white",8,3,1,2,100,0
3,2,"rock",9,2,1,3,100,0
3,2,"ingredient",8,2,1,4,100,0
3,2,"thought",8,2,1,5,100,0
3,1,"forest",10,1,1,6,100,0
3,2,"spicy",8,2,1,7,100,0
8,3,"foodmaking",6,2,0,1,66.67,1
8,2,"fly",6,1,0,2,50,1
8,3,"animal",8,3,1,3,100,1
10,1,"shapeshifter",10,1,1,1,100,1
10,2,"melting",6,2,1,8,100,1
10,1,"furry",9,1,1,2,100,1
10,1,"dark",8,1,1,9,100,1
10,2,"think",9,2,1,3,100,1
10,1,"cone",10,1,1,10,100,1
10,2,"bald",7,1,0,4,50,1
10,2,"ramsay",8,2,1,11,100,1
10,1,"art",10,1,1,5,100,1
10,1,"dead",10,1,1,12,100,1
10,1,"spice",10,1,1,6,100,1
10,1,"insect",10,1,1,7,100,1
5,4,"gamer",9,2,0,1,50,1
5,2,"joke",9,2,1,8,100,1
5,2,"assassin",8,1,0,2,50,1
5,1,"wasp",10,1,1,9,100,1
5,2,"black",9,1,0,3,50,1
5,1,"tree",10,1,1,10,100,1
5,3,"doctor",8,1,0,4,33.33,1
5,1,"monument",9,1,1,5,100,1
5,2,"choking",10,2,1,6,100,1
5,4,"hell",7,3,0,7,75,1
2,2,"abstract",8,2,1,1,100,0
2,1,"tree",10,1,1,8,100,0
2,2,"ingredients",9,2,1,2,100,0
2,1,"room",10,1,1,9,100,0
2,2,"stone",6,1,0,3,50,0
2,1,"insect",10,1,1,11,100,0
2,2,"cold",9,2,1,4,100,0
2,2,"mammal",10,2,1,5,100,0
2,1,"bird",10,1,1,6,100,0
2,2,"hell",7,2,1,7,100,0
9,1,"house",9,1,1,5,100,1
9,1,"snow",10,1,1,6,100,1
9,1,"underground",10,1,1,7,100,1
9,4,"comics",8,2,0,1,50,1
9,2,"sweet",9,1,0,8,50,1
9,3,"milk",8,1,0,2,33.33,1
9,1,"sculpture",10,1,1,9,100,1
9,4,"intelligence",7,2,0,3,50,1
9,1,"plant",10,1,1,10,100,1
9,3,"animal",9,3,1,4,100,1
9,1,"scary",10,1,1,12,100,1
7,2,"hell",7,1,0,1,50,1
7,2,"fly",9,1,0,8,50,1
7,2,"flavour",7,1,0,2,50,1
7,1,"insect",10,1,1,9,100,1
7,2,"stone",8,2,1,3,100,1
7,2,"white",9,1,0,10,50,1
7,2,"furry",9,2,1,4,100,1
7,1,"miracle",10,1,1,11,100,1
7,2,"witchcraft",5,1,0,5,50,1
7,1,"ananas",10,1,1,12,100,1
7,3,"theoretical",4,1,0,6,33.33,1
7,2,"eskimo",1,2,1,14,100,1
7,2,"sandcastle",5,0,0,7,0,1
6,3,"ground",5,3,1,5,100,0
6,1,"spice",10,1,1,6,100,0
6,2,"creativity",5,2,1,7,100,0
6,2,"fairytale",5,1,0,1,50,0
6,1,"bird",10,1,1,8,100,0
6,2,"edible",8,1,0,2,50,0
6,2,"woman",5,0,0,9,0,0
6,2,"scary",10,2,1,3,100,0
6,2,"lady",5,1,0,11,50,0
6,2,"north",7,2,1,4,100,0
6,1,"fairytale",10,1,1,13,100,0
