"ID","n_rounds","condition","age","gender","nationality","group_ID","linked_n","link","linked_words","confidence","guessing","guess_n","is_success","round","linked","guessed"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",5,"hunger","3, 6, 10, 22, 20",8,"6, 3, 14, 1, 23",2,0,1,"statue,cave,ant,werewolf,kitchen","cinnamon,butter,soup,werewolf,kitchen"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",1,"bread","14",10,"14",1,1,8,"butter","butter"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",5,"idiot","1, 2, 5, 14, 19",7,"2, 19, 7, 25, 22",2,0,2,"cinnamon,butter,llama,idea,igloo","llama,idea,ant,devil,religion"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",2,"hideout","20,22",8,"20, 24",1,0,9,"cave,ant","cave,bed"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",3,"enemy","22, 25, 20",8,"25, 17, 11",1,0,3,"cave,ant,devil","tank,ghost,devil"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",2,"flying","8, 17",10,"8, 18",1,0,10,"ghost,eagle","cloud,eagle"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",3,"smelly","1, 14, 12",10,"1, 12, 8",2,0,4,"cinnamon,pine,butter","cinnamon,pine,eagle"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",1,"small","22",10,"22",1,1,11,"ant","ant"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",2,"marvel","16, 10",9,"16, 21",1,0,5,"statue,wonder","wonder,pearl"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",1,"nightmare","17",10,"17",1,1,12,"ghost","ghost"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",1,"snow","5",10,"5",1,1,6,"igloo","igloo"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",1,"art","10",10,"10",1,1,7,"statue","statue"
"0w9bzg1w",10,"S",20,"F","czech","Violet Guitar",2,"monster","3,25",8,"3, 25",2,1,1,"devil,werewolf","devil,werewolf"
"0w9bzg1w",10,"S",20,"F","czech","Violet Guitar",1,"dead","17",9,"17",1,1,8,"ghost","ghost"
"0w9bzg1w",10,"S",20,"F","czech","Violet Guitar",2,"vertebrate","19, 8",9,"8, 19",2,1,2,"llama,eagle","llama,eagle"
"0w9bzg1w",10,"S",20,"F","czech","Violet Guitar",1,"speleology","20",10,"20",1,1,9,"cave","cave"
"0w9bzg1w",10,"S",20,"F","czech","Violet Guitar",1,"tiny","22",10,"22",1,1,3,"ant","ant"
"0w9bzg1w",10,"S",20,"F","czech","Violet Guitar",1,"flora","12",10,"12",1,1,10,"pine","pine"
"0w9bzg1w",10,"S",20,"F","czech","Violet Guitar",2,"freezing","5, 17",7,"5, 20",1,0,4,"ghost,igloo","cave,igloo"
"0w9bzg1w",10,"S",20,"F","czech","Violet Guitar",2,"creating","10, 6",5,"10, 6",2,1,5,"statue,kitchen","statue,kitchen"
"0w9bzg1w",10,"S",20,"F","czech","Violet Guitar",2,"ingredient","1, 14",9,"14, 1",2,1,6,"cinnamon,butter","cinnamon,butter"
"0w9bzg1w",10,"S",20,"F","czech","Violet Guitar",2,"unreal","2, 16",8,"2, 16",2,1,7,"wonder,idea","wonder,idea"
"1bal6azg",10,"S",24,"M","USA","Violet Guitar",2,"freezing","5, 17",7,"5, 20",1,0,4,"ghost,igloo","cave,igloo"
"1bal6azg",10,"S",24,"M","USA","Violet Guitar",2,"creating","10, 6",5,"10, 6",2,1,5,"statue,kitchen","statue,kitchen"
"1bal6azg",10,"S",24,"M","USA","Violet Guitar",2,"ingredient","1, 14",9,"14, 1",2,1,6,"cinnamon,butter","cinnamon,butter"
"1bal6azg",10,"S",24,"M","USA","Violet Guitar",2,"unreal","2, 16",8,"2, 16",2,1,7,"wonder,idea","wonder,idea"
"1bal6azg",10,"S",24,"M","USA","Violet Guitar",2,"monster","3,25",8,"3, 25",2,1,1,"devil,werewolf","devil,werewolf"
"1bal6azg",10,"S",24,"M","USA","Violet Guitar",1,"dead","17",9,"17",1,1,8,"ghost","ghost"
"1bal6azg",10,"S",24,"M","USA","Violet Guitar",2,"vertebrate","19, 8",9,"8, 19",2,1,2,"llama,eagle","llama,eagle"
"1bal6azg",10,"S",24,"M","USA","Violet Guitar",1,"speleology","20",10,"20",1,1,9,"cave","cave"
"1bal6azg",10,"S",24,"M","USA","Violet Guitar",1,"tiny","22",10,"22",1,1,3,"ant","ant"
"1bal6azg",10,"S",24,"M","USA","Violet Guitar",1,"flora","12",10,"12",1,1,10,"pine","pine"
"352oxcny",7,"S",26,"F","Slovak","Jade Piccolo",3,"runners","3, 22, 19",7,"3,22,19",3,1,1,"llama,ant,werewolf","llama,ant,werewolf"
"352oxcny",7,"S",26,"F","Slovak","Jade Piccolo",3,"white","17, 5, 8",8,"5, 17, 8",3,1,2,"ghost,igloo,eagle","ghost,igloo,eagle"
"352oxcny",7,"S",26,"F","Slovak","Jade Piccolo",2,"rock","10,20",9,"20,10",2,1,3,"statue,cave","statue,cave"
"352oxcny",7,"S",26,"F","Slovak","Jade Piccolo",2,"ingredient","1,14",8,"1, 14",2,1,4,"cinnamon,butter","cinnamon,butter"
"352oxcny",7,"S",26,"F","Slovak","Jade Piccolo",2,"thought","2,16",8,"2, 16",2,1,5,"wonder,idea","wonder,idea"
"352oxcny",7,"S",26,"F","Slovak","Jade Piccolo",1,"forest","12",10,"12",1,1,6,"pine","pine"
"352oxcny",7,"S",26,"F","Slovak","Jade Piccolo",2,"spicy","6,25",8,"6,25",2,1,7,"devil,kitchen","devil,kitchen"
"3k271zax",3,"F",24,"F","Danish","Rowdy Pony",3,"foodmaking","23,6, 1",6,"6, 23,14",2,0,1,"cinnamon,soup,kitchen","butter,soup,kitchen"
"3k271zax",3,"F",24,"F","Danish","Rowdy Pony",2,"fly","8, 17",6,"8, 18",1,0,2,"ghost,eagle","cloud,eagle"
"3k271zax",3,"F",24,"F","Danish","Rowdy Pony",3,"animal","3, 19, 22",8,"3, 19, 22",3,1,3,"llama,ant,werewolf","llama,ant,werewolf"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",1,"shapeshifter","3",10,"3",1,1,1,"werewolf","werewolf"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",2,"melting","14, 5",6,"5,14",2,1,8,"butter,igloo","butter,igloo"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",1,"furry","19",9,"19",1,1,2,"llama","llama"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",1,"dark","20",8,"20",1,1,9,"cave","cave"
