"link","semantic"
"hunger",5.89985087719298
"bread",2.9
"idiot",8.81293859649123
"hideout",5.8125
"enemy",7.18888888888889
"flying",3.445
"smelly",4.55555555555556
"small",2.57142857142857
"marvel",5.01973684210526
"nightmare",3.875
"snow",1.8
"art",2.125
"monster",2.95263157894737
"dead",2.96
"vertebrate",2.93333333333333
"speleology",2.65
"tiny",2.57894736842105
"flora",4.2
"freezing",3.8125
"creating",4.26
"ingredient",2.67125
"unreal",3.93333333333333
"room",3.76041666666667
"mammals",4.3469298245614
"red",3.45
"thoughts",2.98958333333333
"food",2.36416666666667
"coldness",3.1525
"alive",5.275
"heroine",6.75
"undead",5.86666666666667
"raw",5.65
"stone",3.16666666666667
"runners",4.9374269005848
"white",3.29277777777778
"rock",2.92666666666667
"thought",2.58333333333333
"forest",2.54166666666667
"spicy",4.52083333333333
"foodmaking",2.32777777777778
"fly",3.65625
"animal",2.45
"shapeshifter",2.84
"melting",3.08333333333333
"furry",3.115
"dark",2.625
"think",2.425
"cone",2.875
"bald",6.1875
"ramsay",6.50833333333333
"spice",2.5
"insect",2.56
"gamer",7.86354166666667
"joke",9.1475
"assassin",7.45
"wasp",5.85
"black",5.61473684210526
"tree",2.4
"doctor",8.05333333333333
"monument",1.88
"choking",7.89583333333333
"hell",7.18516666666667
"abstract",3.60416666666667
"ingredients",2.7875
"cold",3.065
"mammal",3.51754385964912
"bird",1.66666666666667
"house",2.6
"underground",2.66666666666667
"comics",6.60666666666667
"sweet",3.79166666666667
"milk",4.57631578947368
"sculpture",2.3125
"intelligence",6.03604166666667
"plant",2.4
"scary",3.10666666666667
"flavour",3.21217105263158
"miracle",2.35
"witchcraft",6.35333333333333
"ananas",3.4375
"theoretical",4.7625
"eskimo",5.58
"sandcastle",6.77430555555556
"ground",4.29722222222222
"fairytale",4.875
"edible",2.96666666666667
"woman",5.5175
"north",3.73333333333333
"creativity",3.2134
"lady",2.4865
