"word","link","question_format"
"cinnamon","raw","cinnamon and raw"
"eagle","vertebrate","eagle and vertebrate"
"igloo","snow","igloo and snow"
"wonder","unreal","wonder and unreal"
"soup","foodmaking","soup and foodmaking"
"cave","rock","cave and rock"
"ghost","white","ghost and white"
"llama","vertebrate","llama and vertebrate"
"igloo","north","igloo and north"
"pine","north","pine and north"
"ant","hell","ant and hell"
"werewolf","runners","werewolf and runners"
"idea","unreal","idea and unreal"
"devil","scary","devil and scary"
"idea","theoretical","idea and theoretical"
"cinnamon","edible","cinnamon and edible"
"kitchen","witchcraft","kitchen and witchcraft"
"cinnamon","sweet","cinnamon and sweet"
"igloo","melting","igloo and melting"
"cave","underground","cave and underground"
"idea","think","idea and think"
"ant","small","ant and small"
"devil","ramsay","devil and ramsay"
"cave","enemy","cave and enemy"
"pine","plant","pine and plant"
"ghost","undead","ghost and undead"
"ant","enemy","ant and enemy"
"cinnamon","ingredients","cinnamon and ingredients"
"eagle","bird","eagle and bird"
"eagle","animal","eagle and animal"
"ghost","bold","ghost and bold"
"pine","alive","pine and alive"
"cinnamon","milk","cinnamon and milk"
"cinnamon","idiot","cinnamon and idiot"
"werewolf","animal","werewolf and animal"
"butter","eskimo","butter and eskimo"
"butter","milk","butter and milk"
"eagle","mammals","eagle and mammals"
"werewolf","shapeshifter","werewolf and shapeshifter"
"idea","gamer","idea and gamer"
"ghost","scary","ghost and scary"
"cave","hunger","cave and hunger"
"wonder","witchcraft","wonder and witchcraft"
"butter","edible","butter and edible"
"llama","idiot","llama and idiot"
"kitchen","creating","kitchen and creating"
"ghost","coldness","ghost and coldness"
"ant","insect","ant and insect"
"cave","black","cave and black"
"werewolf","furry","werewolf and furry"
"butter","doctor","butter and doctor"
"statue","monument","statue and monument"
"kitchen","hell","kitchen and hell"
"cinnamon","food","cinnamon and food"
"devil","hell","devil and hell"
"igloo","joke","igloo and joke"
"ghost","cold","ghost and cold"
"igloo","eskimo","igloo and eskimo"
"wonder","heroine","wonder and heroine"
"statue","rock","statue and rock"
"wonder","woman","wonder and woman"
"llama","ground","llama and ground"
"devil","comics","devil and comics"
"ghost","dead","ghost and dead"
"wonder","hell","wonder and hell"
"eagle","flying","eagle and flying"
"cinnamon","ingredient","cinnamon and ingredient"
"werewolf","intelligence","werewolf and intelligence"
"igloo","white","igloo and white"
"pine","tree","pine and tree"
"ghost","freezing","ghost and freezing"
"butter","flavour","butter and flavour"
"werewolf","gamer","werewolf and gamer"
"ant","runners","ant and runners"
"idea","intelligence","idea and intelligence"
"eagle","joke","eagle and joke"
"ant","comics","ant and comics"
"wonder","fairytale","wonder and fairytale"
"pine","cone","pine and cone"
"statue","sculpture","statue and sculpture"
"idea","thoughts","idea and thoughts"
"igloo","freezing","igloo and freezing"
"wonder","abstract","wonder and abstract"
"ant","hideout","ant and hideout"
"ghost","fly","ghost and fly"
"ghost","flying","ghost and flying"
"cinnamon","spice","cinnamon and spice"
"cinnamon","smelly","cinnamon and smelly"
"statue","creating","statue and creating"
"igloo","coldness","igloo and coldness"
"kitchen","spicy","kitchen and spicy"
"kitchen","woman","kitchen and woman"
"devil","red","devil and red"
"kitchen","hunger","kitchen and hunger"
"ghost","nightmare","ghost and nightmare"
"wonder","sandcastle","wonder and sandcastle"
"butter","ingredients","butter and ingredients"
"kitchen","room","kitchen and room"
"pine","ananas","pine and ananas"
"butter","ingredient","butter and ingredient"
"eagle","fly","eagle and fly"
"statue","stone","statue and stone"
"igloo","idiot","igloo and idiot"
"pine","smelly","pine and smelly"
"cave","hell","cave and hell"
"cinnamon","foodmaking","cinnamon and foodmaking"
"werewolf","comics","werewolf and comics"
"devil","monster","devil and monster"
"ant","tiny","ant and tiny"
"ant","wasp","ant and wasp"
"wonder","think","wonder and think"
"butter","bread","butter and bread"
"ghost","alive","ghost and alive"
"pine","sweet","pine and sweet"
"eagle","doctor","eagle and doctor"
"wonder","miracle","wonder and miracle"
"llama","mammals","llama and mammals"
"ant","red","ant and red"
"llama","animal","llama and animal"
"idea","doctor","idea and doctor"
"eagle","assassin","eagle and assassin"
"llama","furry","llama and furry"
"llama","gamer","llama and gamer"
"ghost","assassin","ghost and assassin"
"cave","speleology","cave and speleology"
"igloo","cold","igloo and cold"
"kitchen","house","kitchen and house"
"devil","enemy","devil and enemy"
"pine","flora","pine and flora"
"llama","mammal","llama and mammal"
"kitchen","black","kitchen and black"
"werewolf","mammals","werewolf and mammals"
"idea","idiot","idea and idiot"
"werewolf","hunger","werewolf and hunger"
"llama","runners","llama and runners"
"werewolf","monster","werewolf and monster"
"llama","milk","llama and milk"
"wonder","marvel","wonder and marvel"
"cinnamon","flavour","cinnamon and flavour"
"ant","sandcastle","ant and sandcastle"
"cave","room","cave and room"
"ant","ground","ant and ground"
"devil","spicy","devil and spicy"
"idea","thought","idea and thought"
"cinnamon","choking","cinnamon and choking"
"kitchen","ramsay","kitchen and ramsay"
"statue","heroine","statue and heroine"
"llama","intelligence","llama and intelligence"
"statue","art","statue and art"
"ant","hunger","ant and hunger"
"devil","intelligence","devil and intelligence"
"butter","melting","butter and melting"
"butter","raw","butter and raw"
"butter","idiot","butter and idiot"
"butter","food","butter and food"
"ant","animal","ant and animal"
"cave","stone","cave and stone"
"kitchen","foodmaking","kitchen and foodmaking"
"eagle","bold","eagle and bold"
"wonder","thought","wonder and thought"
"ghost","theoretical","ghost and theoretical"
"wonder","comics","wonder and comics"
"wonder","thoughts","wonder and thoughts"
"cave","gamer","cave and gamer"
"cave","ground","cave and ground"
"cave","dark","cave and dark"
"statue","hunger","statue and hunger"
"statue","marvel","statue and marvel"
"pine","forest","pine and forest"
"butter","choking","butter and choking"
"eagle","white","eagle and white"
"idea","abstract","idea and abstract"
"cave","hideout","cave and hideout"
"butter","smelly","butter and smelly"
"werewolf","mammal","werewolf and mammal"
