participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._round_number;participant._current_page_name;participant.ip_address;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.subsession_id;player.group_id;player.payoff;group.id_in_subsession;group.n_linked_words;group.link_word;group.linked_words;group.confidence;group.guessing;group.how_success;group.is_success;group.subsession_id;subsession.round_number;session.code;session.label;session.experimenter_name;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;m1xbylrv;;0;26;565;codenames;3;Results;NA;NA;1;;;0;1;1;1;0;1;3;foodmaking;23,6, 1;6;6, 23,14;2;0;1;1;ocxmubdh;;;;;;0
2;3k271zax;;0;28;565;codenames;4;Link;NA;NA;1;;;0;2;1;1;0;1;3;foodmaking;23,6, 1;6;6, 23,14;2;0;1;1;ocxmubdh;;;;;;0
1;m1xbylrv;;0;26;565;codenames;3;Results;NA;2018-05-17 08:08:29.657913+00:00;1;;;0;2;2;81;0;1;2;fly;8, 17;6;8, 18;1;0;2;2;ocxmubdh;;;;;;0
2;3k271zax;;0;28;565;codenames;4;Link;NA;2018-05-17 08:08:55.476250+00:00;1;;;0;1;2;81;0;1;2;fly;8, 17;6;8, 18;1;0;2;2;ocxmubdh;;;;;;0
1;m1xbylrv;;0;26;565;codenames;3;Results;NA;2018-05-17 08:08:29.657913+00:00;1;;;0;1;3;82;0;1;3;animal;3, 19, 22;8;3, 19, 22;3;1;3;3;ocxmubdh;;;;;;0
2;3k271zax;;0;28;565;codenames;4;Link;NA;2018-05-17 08:08:55.476250+00:00;1;;;0;2;3;82;0;1;3;animal;3, 19, 22;8;3, 19, 22;3;1;3;3;ocxmubdh;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;481;955;0;1;1;shapeshifter;3;10;3;1;1;481;1;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;481;955;0;1;1;shapeshifter;3;10;3;1;1;481;1;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;482;1035;0;1;1;furry;19;9;19;1;1;482;2;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;482;1035;0;1;1;furry;19;9;19;1;1;482;2;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;483;1036;0;1;2;think;2,16;9;2, 16;2;1;483;3;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;483;1036;0;1;2;think;2,16;9;2, 16;2;1;483;3;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;484;1037;0;1;2;bald;17, 8;7;8,22;1;0;484;4;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;484;1037;0;1;2;bald;17, 8;7;8,22;1;0;484;4;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;485;1038;0;1;1;art;10;10;10;1;1;485;5;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;485;1038;0;1;1;art;10;10;10;1;1;485;5;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;486;1039;0;1;1;spice;1;10;1;1;1;486;6;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;486;1039;0;1;1;spice;1;10;1;1;1;486;6;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;487;1040;0;1;1;insect;22;10;22;1;1;487;7;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;487;1040;0;1;1;insect;22;10;22;1;1;487;7;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;488;1041;0;1;2;melting;14, 5;6;5,14;2;1;488;8;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;488;1041;0;1;2;melting;14, 5;6;5,14;2;1;488;8;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;489;1042;0;1;1;dark;20;8;20;1;1;489;9;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;489;1042;0;1;1;dark;20;8;20;1;1;489;9;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;490;1043;0;1;1;cone;12;10;12;1;1;490;10;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;490;1043;0;1;1;cone;12;10;12;1;1;490;10;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;491;1044;0;1;2;Ramsay;6,25;8;6, 25;2;1;491;11;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;491;1044;0;1;2;Ramsay;6,25;8;6, 25;2;1;491;11;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;492;1045;0;1;1;dead;17;10;17;1;1;492;12;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;492;1045;0;1;1;dead;17;10;17;1;1;492;12;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;493;1046;0;1;;;;;;;;493;13;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;493;1046;0;1;;;;;;;;493;13;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;494;1047;0;1;;;;;;;;494;14;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;494;1047;0;1;;;;;;;;494;14;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;495;1048;0;1;;;;;;;;495;15;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;495;1048;0;1;;;;;;;;495;15;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;496;1049;0;1;;;;;;;;496;16;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;496;1049;0;1;;;;;;;;496;16;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;497;1050;0;1;;;;;;;;497;17;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;497;1050;0;1;;;;;;;;497;17;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;498;1051;0;1;;;;;;;;498;18;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;498;1051;0;1;;;;;;;;498;18;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;499;1052;0;1;;;;;;;;499;19;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;499;1052;0;1;;;;;;;;499;19;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;500;1053;0;1;;;;;;;;500;20;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;500;1053;0;1;;;;;;;;500;20;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;501;1054;0;1;;;;;;;;501;21;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;501;1054;0;1;;;;;;;;501;21;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;502;1055;0;1;;;;;;;;502;22;c5ax67xj;;;;;;0
