Timestamp;Age;Gender;Nationality;butter and eskimo;butter and milk;eagle and mammals;werewolf and shapeshifter;idea and gamer;ghost and scary;cave and hunger;wonder and witchcraft;butter and edible;llama and idiot;kitchen and creating;ghost and coldness;ant and insect;cave and black;werewolf and furry;butter and doctor;statue and monument;kitchen and hell;cinnamon and food;devil and hell;igloo and joke;ghost and cold;igloo and eskimo;wonder and heroine;statue and rock;wonder and woman;llama and ground;devil and comics;ghost and dead;wonder and hell;eagle and flying;cinnamon and ingredient;werewolf and intelligence;igloo and white;pine and tree
2018/05/26 2:57:53 pm EET;22;Male;Bulgarian;10;4;6;5;4;2;10;8;3;9;4;3;4;3;4;10;2;10;4;3;10;3;4;10;3;10;9;9;3;9;2;4;5;3;4
2018/05/26 3:00:51 pm EET;25;Female;Romanian;10;3;7;3;3;3;7;10;3;10;3;3;3;4;3;10;1;10;3;3;10;3;3;10;3;10;7;7;3;7;3;3;5;3;3
2018/05/26 3:01:27 pm EET;24;Male;Romanian;10;3;9;2;5;2;4;7;5;9;3;3;2;2;3;9;1;5;2;2;10;7;2;10;2;4;8;6;3;8;2;2;8;5;2
2018/05/26 3:02:11 pm EET;27;Female;Hungarian;10;3;8;4;10;4;9;3;3;9;2;5;4;6;3;10;1;6;3;2;9;8;4;2;4;2;7;5;2;6;5;3;10;4;3
2018/05/26 3:02:25 pm EET;20;Female;poland;10;6;5;4;10;3;7;7;1;7;7;3;4;6;6;10;2;6;5;6;10;9;6;10;2;8;5;9;5;10;4;3;10;3;5
2018/05/26 3:11:55 pm EET;28;Male;Indian ;10;1;8;1;9;1;6;8;4;5;3;8;1;5;8;10;1;8;1;1;10;5;1;7;1;8;2;8;1;8;1;1;10;3;2
2018/05/26 3:18:41 pm EET;22;Female;german;10;2;8;1;3;2;9;2;3;10;3;3;2;2;1;2;1;10;2;2;10;2;2;9;3;4;5;4;1;9;2;1;2;3;1
2018/05/26 3:43:53 pm EET;24;Male;Swiss;10;3;10;3;10;3;9;3;3;10;3;1;3;6;3;10;3;10;6;3;10;4;3;10;5;10;2;10;4;8;3;3;10;3;3
2018/05/26 4:36:27 pm EET;24;Male;Lithuanian;4;7;5;2;10;3;4;3;3;1;4;4;2;2;2;10;4;8;2;1;10;1;5;3;4;2;5;10;3;10;1;2;4;1;2
2018/05/26 5:14:48 pm EET;21;Female;Hungarian;10;3;5;4;9;3;10;9;3;3;6;5;3;3;2;10;1;10;1;2;10;4;2;5;2;3;3;10;2;10;2;5;2;2;2
2018/05/26 7:41:02 pm EET;23;Female;Danish;10;3;6;1;8;2;6;2;2;4;2;2;3;2;2;10;2;10;2;2;8;3;2;4;2;4;5;9;2;10;2;2;9;2;1
2018/05/26 9:24:38 pm EET;29;Male;Polish;10;;7;1;3;2;5;2;2;;2;2;2;3;2;10;1;9;3;2;10;2;2;2;3;2;4;8;2;9;2;2;3;3;2
2018/05/26 9:29:43 pm EET;30;Female;American;9;4;3;5;9;4;8;4;4;10;2;8;4;3;4;9;2;9;3;2;9;4;2;8;4;6;8;5;8;10;4;2;6;3;3
2018/05/26 10:15:46 pm EET;22;Female;Bulgarian;10;2;3;4;4;4;1;3;3;5;7;3;2;2;2;5;1;1;2;2;10;3;1;3;2;9;5;5;2;10;1;1;10;5;2
2018/05/26 10:27:23 pm EET;30;Female;danish;10;2;7;5;6;5;10;7;5;10;4;5;4;6;2;10;2;10;4;3;10;5;5;5;5;5;7;10;3;10;4;2;6;3;3
2018/05/26 11:07:18 pm EET;22;Female;Norwegian;1;1;5;2;4;4;7;9;1;5;4;4;2;1;1;1;2;8;2;2;2;6;2;8;4;10;2;7;10;8;2;3;2;2;2
2018/05/26 11:22:58 pm EET;43;Female;Spanish;10;2;7;5;9;1;3;6;3;10;2;2;1;3;5;10;1;4;2;1;10;1;1;10;2;10;2;10;1;9;2;2;7;2;1
2018/05/27 1:48:16 am EET;24;Female;Russia;3;2;4;3;8;2;5;2;3;10;4;3;3;2;5;10;1;8;2;2;10;5;5;7;3;5;5;10;2;5;3;3;8;3;2
2018/05/27 9:19:12 am EET;25;Female;Canadian;8;2;9;4;6;4;7;6;2;5;4;5;3;4;4;6;4;4;1;3;10;3;3;5;5;4;3;4;3;9;4;1;8;3;4
2018/05/27 9:59:30 am EET;22;Female;Irish;5;1;10;3;5;3;5;6;1;10;1;4;1;4;1;9;3;4;1;1;7;5;1;10;2;9;4;10;1;9;2;2;8;1;1
2018/05/27 10:39:47 am EET;28;Female;Polish;10;3;7;2;10;3;3;10;3;10;3;3;2;3;4;10;2;4;2;2;10;2;3;3;3;5;1;4;3;10;4;2;10;3;2
2018/05/27 12:16:20 pm EET;39;Female;Kroatien ;10;1;;2;5;1;4;5;3;5;1;5;2;4;4;10;3;10;3;1;5;4;1;;6;6;6;10;1;8;2;1;5;2;3
2018/05/27 1:19:58 pm EET;26;Male;Swedish;10;2;8;3;9;3;10;9;3;10;8;2;4;5;2;10;3;9;3;2;10;4;2;10;4;5;2;10;5;10;4;4;10;4;3
2018/05/27 1:24:45 pm EET;32;Female;Indonesia;10;3;8;1;4;2;8;9;3;3;5;3;2;4;3;9;2;10;3;3;10;5;3;3;1;6;4;10;2;10;4;2;9;4;2
2018/05/27 4:19:10 pm EET;30;Female;icelandic;3;3;4;1;2;1;2;1;1;1;1;3;1;1;1;9;1;10;1;1;3;4;1;10;3;7;4;9;2;8;1;1;9;3;2
