Timestamp;Age;Gender;Nationality;ghost and freezing;butter and flavour;werewolf and gamer;ant and runners;idea and intelligence;eagle and joke;ant and comics;wonder and fairytale;pine and cone;statue and sculpture;idea and thoughts;igloo and freezing;wonder and abstract;ant and hideout;ghost and fly;ghost and flying;cinnamon and spice;cinnamon and smelly;statue and creating;igloo and coldness;kitchen and spicy;kitchen and woman;devil and red;kitchen and hunger;ghost and nightmare;wonder and sandcastle;butter and ingredients;kitchen and room;pine and ananas;butter and ingredient;eagle and fly;statue and stone;igloo and idiot;pine and smelly;cave and hell
2018/05/26 3:05:59 pm EET;41;Female;Polish;3;4;6;2;1;10;10;6;1;1;4;1;3;10;6;5;1;1;2;1;3;4;1;1;1;4;4;3;2;3;2;4;10;4;10
2018/05/26 3:07:54 pm EET;22;Female;Lithuania ;2;2;6;8;7;10;10;5;6;3;3;4;3;10;3;4;1;5;3;4;4;10;3;4;4;10;2;3;5;3;4;3;10;5;10
2018/05/26 3:08:47 pm EET;20;Male;German;7;7;10;3;4;10;10;6;1;2;5;1;5;4;3;4;2;3;9;1;3;5;2;1;4;2;4;2;1;3;2;3;10;3;4
2018/05/26 3:41:18 pm EET;21;Female;Bulgarian;6;5;7;5;6;7;8;5;4;3;2;4;1;7;5;5;4;3;5;3;4;4;4;6;5;6;4;3;4;5;2;3;10;8;9
2018/05/26 4:35:39 pm EET;20;Female;Romanian;4;4;7;5;7;10;10;9;2;1;1;1;7;9;4;3;2;5;6;2;3;8;4;2;4;10;3;5;3;2;1;2;10;2;10
2018/05/26 6:46:11 pm EET;22;Female;Belgian;6;3;8;3;4;8;6;3;2;1;4;2;2;7;7;1;3;3;4;2;4;8;3;2;6;4;3;5;5;3;4;3;9;3;6
2018/05/26 7:26:50 pm EET;24;Female;Danish;4;5;10;4;6;10;6;4;4;2;2;6;4;8;6;7;2;6;7;5;4;3;2;3;4;9;4;3;2;4;4;5;10;4;7
2018/05/26 7:28:47 pm EET;26;Female;Australian;4;2;9;6;4;10;10;2;2;2;2;2;2;10;4;4;2;3;3;3;3;2;2;4;3;5;3;2;3;2;2;4;10;3;6
2018/05/26 7:30:50 pm EET;26;Female;Portuguese;5;3;9;2;4;10;8;4;4;2;2;3;6;9;5;5;4;2;2;3;6;4;5;3;3;10;7;3;5;5;3;3;10;6;9
2018/05/26 7:53:33 pm EET;25;Female;German;7;3;9;8;5;8;4;1;1;3;1;1;4;8;3;3;1;7;3;1;3;8;1;1;4;10;1;1;4;1;1;2;10;3;10
2018/05/26 8:10:55 pm EET;31;Female;Romanian;6;3;9;4;3;9;10;3;2;1;2;2;3;8;2;3;2;2;3;2;2;4;2;2;3;8;2;2;3;2;2;2;10;3;5
2018/05/26 8:31:59 pm EET;19;Female;Polish;5;2;10;6;1;10;8;7;3;3;3;4;4;10;1;5;4;3;5;4;7;3;5;6;4;10;6;5;6;6;4;6;10;5;10
2018/05/26 9:51:49 pm EET;24;Female;German;3;1;9;6;2;10;10;7;4;3;2;3;4;10;8;7;4;6;8;3;5;4;5;4;3;8;4;4;2;4;4;5;10;6;8
2018/05/27 12:17:15 am EET;18;Female;Slovenian;8;4;10;3;6;8;10;8;1;3;4;3;2;10;3;4;3;1;7;3;10;4;2;1;3;10;1;2;4;1;4;1;10;2;10
2018/05/27 11:43:33 am EET;34;Female;Australian;7;5;10;6;4;10;10;4;3;3;3;4;4;10;5;5;3;5;5;3;3;5;3;3;5;3;4;3;1;3;3;3;10;3;10
2018/05/27 5:20:32 pm EET;22;Female;Polish;2;6;10;1;5;10;10;4;6;4;3;2;6;10;7;3;2;3;8;2;8;2;4;4;6;10;2;3;5;2;3;5;10;4;9
