Timestamp;Age;Gender;Nationality;cinnamon and foodmaking;werewolf and comics;devil and monster;ant and tiny;ant and wasp;wonder and think;butter and bread;ghost and alive;pine and sweet;eagle and doctor;wonder and miracle;llama and mammals;ant and red;llama and animal;idea and doctor;eagle and assassin;llama and furry;llama and gamer;ghost and assassin;cave and speleology;igloo and cold;kitchen and house;devil and enemy;pine and flora;llama and mammal;kitchen and black;werewolf and mammals;idea and idiot;werewolf and hunger;llama and runners;werewolf and monster;llama and milk;wonder and marvel;cinnamon and flavour;ant and sandcastle
2018/05/26 3:00:56 pm EET;24;Female;Lithuanian;6;4;5;3;10;2;4;10;5;10;1;4;4;3;9;8;5;10;10;4;2;2;5;3;4;10;4;10;4;9;5;4;3;1;10
2018/05/26 3:08:47 pm EET;42;Female;British ;1;5;3;4;4;2;2;10;5;10;2;1;3;1;10;10;3;10;10;1;2;3;5;3;3;10;3;10;3;3;3;5;2;2;3
2018/05/26 3:59:35 pm EET;31;Female;Ro;3;8;3;2;3;3;2;5;3;10;1;3;7;2;10;8;2;10;10;2;2;2;10;2;3;10;2;5;2;7;2;8;3;3;7
2018/05/26 4:37:35 pm EET;19;Female;Faroes;5;2;1;1;7;6;4;4;4;10;2;2;2;1;8;8;4;9;5;5;2;2;4;7;2;9;4;7;3;6;1;4;5;2;7
2018/05/26 5:08:01 pm EET;23;Female;Slovak;5;4;1;;4;2;4;4;3;9;1;3;2;2;4;4;2;2;7;3;1;3;2;2;2;10;2;10;6;3;2;4;2;2;10
2018/05/26 5:30:53 pm EET;28;Female;Spanish;2;3;4;2;3;3;3;3;6;8;6;5;4;1;4;6;2;8;7;1;1;1;5;3;5;7;3;5;2;6;4;7;1;4;3
2018/05/26 5:34:45 pm EET;20;Female;Polish;1;3;1;1;3;4;1;9;5;8;3;4;1;1;7;10;3;10;8;1;1;3;4;4;4;10;4;10;4;1;6;4;3;1;9
2018/05/26 5:37:38 pm EET;23;Female;Australian;3;6;4;4;4;3;2;5;4;10;2;4;5;3;3;4;4;10;7;2;2;3;7;3;3;5;5;8;3;8;3;5;2;3;5
2018/05/26 6:11:53 pm EET;20;Female;Hungarian ;2;10;5;1;10;2;4;10;2;10;6;3;4;1;10;5;3;10;7;2;1;2;5;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018/05/26 7:22:18 pm EET;20;Female;Slovak;1;6;2;3;4;6;6;8;7;7;2;5;7;4;7;8;4;6;8;3;2;5;5;7;5;7;4;4;7;4;4;4;2;4;7
2018/05/26 8:13:20 pm EET;41;Male;Polish;3;4;3;4;4;2;3;9;8;9;3;2;5;2;3;6;3;8;5;2;3;2;3;3;2;4;3;8;5;7;3;3;4;3;4
2018/05/26 9:28:11 pm EET;24;Female;Romanian;6;4;1;3;6;3;2;5;4;9;2;5;5;2;8;6;3;10;10;5;2;3;8;3;3;10;3;10;3;9;3;7;5;3;7
2018/05/26 9:54:22 pm EET;29;Female;greek;5;10;2;2;10;5;5;10;4;10;3;5;5;4;10;10;2;10;10;5;5;3;10;6;6;10;3;10;3;2;5;2;2;5;10
2018/05/26 11:15:15 pm EET;21;Female;Latvian;1;1;1;3;10;1;1;10;5;10;1;1;1;1;1;6;1;10;10;3;1;1;1;6;1;1;1;5;1;1;1;1;5;1;7
2018/05/27 2:07:43 am EET;21;Female;Ukrainian;4;2;3;2;3;1;2;3;6;10;1;1;4;3;5;10;2;10;7;2;2;2;2;6;3;5;2;8;3;1;2;6;1;4;
2018/05/27 2:39:29 am EET;23;Male;Czech;3;5;5;4;4;4;3;7;4;8;3;3;4;4;6;3;7;5;4;3;3;4;6;4;4;8;5;8;5;5;5;5;2;3;6
2018/05/27 7:20:52 am EET;26;Female;Georgian;2;1;4;2;8;4;1;7;5;2;2;1;3;1;5;5;1;10;7;1;1;1;5;1;1;8;1;10;1;4;1;5;3;1;1
2018/05/27 11:06:42 am EET;20;Female;Estonian;6;5;3;3;8;4;4;10;1;10;2;2;4;5;10;9;4;9;10;3;4;4;8;6;5;10;7;10;2;4;4;3;3;5;6
2018/05/27 1:00:32 pm EET;22;Female;Dutch;4;3;3;3;3;2;3;8;4;9;2;3;6;2;8;10;5;9;7;3;2;4;5;5;3;5;5;9;5;2;3;5;3;3;6
2018/05/27 1:13:22 pm EET;20;Female;Polish;2;5;2;2;9;2;2;10;4;9;2;5;2;2;2;8;3;9;5;2;2;2;2;9;5;9;2;9;2;5;2;5;2;2;2
