Timestamp;Age;Gender;Nationality;cave and room;ant and ground;devil and spicy;idea and thought;cinnamon and choking;kitchen and Ramsay;statue and heroine;llama and intelligence;statue and art;ant and hunger;devil and intelligence;butter and melting;butter and raw;butter and idiot;butter and food;ant and animal;cave and stone;kitchen and foodmaking;eagle and bald;wonder and thought;ghost and theoretical;wonder and comics;wonder and thoughts;cave and gamer;cave and ground;cave and dark;statue and hunger;statue and marvel;pine and forest;butter and choking;eagle and white;idea and abstract;cave and hideout;butter and smelly;werewolf and mammal
2018/05/26 3:02:32 pm EET;27;Male;Croatian;5;3;4;1;10;1;10;8;1;4;5;3;4;10;1;3;2;1;3;2;3;3;4;10;3;3;10;10;1;10;4;5;4;5;5
2018/05/26 3:06:27 pm EET;23;Female;Croatian;2;4;6;2;9;2;10;5;2;10;4;4;7;10;2;1;4;1;6;5;3;8;5;10;4;4;5;10;3;6;3;3;7;3;3
2018/05/26 3:06:32 pm EET;33;Female;Filipino;5;1;5;1;10;10;10;10;1;2;1;1;10;10;1;1;1;1;5;1;10;1;1;10;1;1;10;10;1;10;2;1;1;4;1
2018/05/26 3:07:07 pm EET;27;Female;American;2;7;4;1;3;4;3;6;1;9;4;3;4;9;1;2;3;2;4;1;5;5;3;4;4;3;10;10;5;8;4;2;1;7;4
2018/05/26 3:07:28 pm EET;21;Female;Lithuanian;5;4;4;3;5;2;10;9;3;8;4;5;8;9;5;1;5;1;10;1;6;5;3;8;5;3;7;7;2;10;8;4;3;9;4
2018/05/26 3:31:26 pm EET;28;Female;Moldova;3;1;2;1;2;1;7;7;2;3;3;1;5;6;2;1;1;1;8;4;8;5;1;7;3;2;9;3;1;10;6;3;1;7;4
2018/05/26 3:32:25 pm EET;21;Female;Czech;5;5;4;5;10;4;3;10;2;9;5;4;10;10;4;4;3;2;2;2;9;10;2;10;7;3;10;10;3;10;5;2;4;10;5
2018/05/26 3:45:56 pm EET;24;Female;Hungarian ;8;3;5;2;9;7;3;10;3;4;4;2;5;10;2;3;2;1;6;2;4;8;4;10;6;3;10;2;2;10;1;2;1;4;5
2018/05/26 3:50:02 pm EET;22;Female;American;4;5;8;1;2;6;5;9;1;9;3;1;9;10;1;2;2;1;1;1;9;4;1;4;8;2;10;6;2;10;7;1;3;6;1
2018/05/26 4:01:59 pm EET;25;Female;lLithuanian;1;1;5;1;5;4;10;10;1;4;2;1;10;10;1;1;1;1;2;1;1;10;1;9;1;1;10;10;2;10;1;2;1;5;2
2018/05/26 4:44:44 pm EET;28;Male;Russian;4;4;5;1;9;3;9;5;3;8;4;4;5;10;3;3;4;3;5;3;10;4;7;5;7;3;10;4;2;10;7;4;4;9;2
2018/05/26 5:16:58 pm EET;22;Female;Latvian;5;5;6;4;6;10;4;10;3;10;1;3;10;10;3;2;3;4;3;4;7;3;4;3;2;1;10;10;4;10;1;3;2;5;5
2018/05/26 8:10:33 pm EET;22;Male;hungarian;4;5;3;2;7;3;9;9;2;8;3;2;6;9;4;5;1;2;1;6;7;4;6;4;3;4;10;4;7;6;3;7;2;8;4
2018/05/26 10:08:16 pm EET;24;Female;Belgian;5;4;5;2;6;4;3;8;3;7;7;2;7;8;3;3;4;2;4;3;9;2;2;6;7;3;9;7;3;8;8;4;3;8;4
2018/05/26 10:31:58 pm EET;38;Male;austria;4;3;4;5;8;5;8;10;4;10;4;3;8;9;2;2;3;2;6;3;9;9;3;8;4;3;10;5;6;10;6;7;3;9;7
2018/05/27 12:10:22 am EET;22;Female;Croatian;5;5;5;4;5;4;9;10;2;8;6;3;8;10;2;2;5;2;2;6;7;5;6;7;8;3;10;9;4;9;3;3;3;8;3
2018/05/27 2:52:44 am EET;22;Female;Spanish;3;4;5;1;9;8;2;6;1;4;7;1;3;7;3;1;2;2;7;3;8;3;2;8;5;1;8;6;1;9;6;2;3;7;4
2018/05/27 7:09:05 am EET;31;Female;Lithuanian ;3;3;4;1;5;4;10;3;1;9;9;1;9;10;1;4;1;1;9;1;10;10;2;10;4;2;10;5;3;5;2;6;3;3;3
2018/05/27 9:21:43 am EET;34;Female;Denmark;6;5;5;4;8;5;7;8;4;10;8;5;5;10;4;2;7;4;5;5;10;7;4;10;8;7;10;9;1;10;3;4;3;9;4
2018/05/27 11:45:57 am EET;27;Female;Romanian;4;1;6;3;5;5;4;5;2;4;5;3;5;10;1;5;3;1;4;1;5;5;1;4;5;5;10;4;3;10;6;5;3;3;2
2018/05/27 12:20:46 pm EET;23;Female;Estonian;5;1;4;1;10;10;1;10;1;10;4;1;10;10;1;5;3;1;1;6;1;1;1;10;6;1;10;10;1;10;1;2;1;4;4
2018/05/27 1:01:00 pm EET;28;Female;Romanian;9;3;3;2;3;5;9;10;2;8;4;3;9;10;1;1;3;1;5;4;4;5;5;9;6;2;10;8;1;10;5;4;3;2;5
2018/05/27 1:07:33 pm EET;24;Female;Portuguese;6;3;4;1;3;4;10;10;2;10;8;1;10;10;3;1;3;1;4;4;6;3;3;4;6;2;10;10;1;9;7;3;7;4;3
2018/05/27 5:31:41 pm EET;33;Male;Croatian;4;2;3;1;10;3;4;9;4;8;5;3;5;10;2;3;5;2;2;5;4;4;8;8;4;1;10;5;2;10;4;4;3;6;4
